timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
607739245237943,-0.179655,0.0347118,0.0472596,0.129291,8.60023,4.60658
607739249240609,-0.160107,0.0359335,0.0393183,0.143656,8.59545,4.6832
607739253243275,-0.132007,0.0341009,0.022825,0.193936,8.58826,4.75264
607739257245141,-0.0996315,0.0353227,-0.00344223,0.22985,8.56672,4.79334
607739261247841,-0.0660339,0.029214,-0.0193247,0.301679,8.53798,4.83404
607739265250541,-0.0409884,0.0255488,-0.0400941,0.306467,8.54277,4.89869
607739269252407,-0.000671341,0.0243271,-0.0547549,0.277736,8.56193,4.92263
607739273255073,0.0280393,0.0133315,-0.0596418,0.181965,8.62178,4.92981
607739277257706,0.0481979,-0.0056053,-0.0645287,0.0837996,8.68643,4.87714
607739281265306,0.0824063,-0.029429,-0.0602527,0.0574626,8.73431,4.84122
607739285267972,0.0958454,-0.0434789,-0.0602527,-0.0407027,8.76783,4.75742
607739289270638,0.112339,-0.0697461,-0.059031,-0.0407027,8.77502,4.71433
607739293273304,0.125778,-0.0856286,-0.0523114,-0.0383084,8.79896,4.6856
607739297276037,0.137384,-0.130222,-0.0425376,-0.0861939,8.81572,4.5587
607739301278703,0.137384,-0.158932,-0.0370398,-0.117319,8.82769,4.4749
607739305276703,0.145325,-0.196806,-0.0382615,-0.122108,8.81811,4.4318
607739309279403,0.142271,-0.237123,-0.027266,-0.0981653,8.82769,4.35997
607739313282103,0.145936,-0.257893,-0.022379,-0.0311256,8.80854,4.27378
607739317290236,0.137995,-0.265834,-0.022379,-0.0167599,8.77741,4.20674
607739321292902,0.133719,-0.26339,-0.0113835,-0.00239427,8.79896,4.18759
607739325295535,0.124556,-0.231625,-0.00771828,-0.00478855,8.77023,4.16125
607739329293601,0.122723,-0.194974,0.00572075,-0.00239427,8.77981,4.14928
607739333296334,0.119058,-0.152213,0.00694248,0.0167599,8.7822,4.18759
607739337299000,0.111728,-0.0825743,0.0161055,0.0287313,8.7822,4.22589
607739341302533,0.11356,-0.0404246,0.0246576,0.0119714,8.79657,4.27378
607739345305233,0.109895,0.00477941,0.0350423,-0.0191542,8.86361,4.31688
607739349307966,0.103787,0.0444857,0.0472596,-0.0574626,8.87797,4.3504
607739353305832,0.0982888,0.0866354,0.0698616,-0.138868,8.92825,4.36476
607739357308498,0.0940128,0.0976309,0.0833006,-0.181965,8.96656,4.36716
607739361311164,0.0897367,0.103129,0.0887984,-0.131685,8.98332,4.40307
607739365313364,0.0817955,0.106794,0.0900202,-0.0670397,8.95459,4.41744
607739369316030,0.0756868,0.110459,0.0875767,0.0598569,8.89713,4.41744
607739373318696,0.0720216,0.105572,0.0796354,0.126897,8.90191,4.36955
607739377322596,0.0622478,0.102518,0.0570334,0.232245,8.85163,4.34082
607739381325262,0.0549174,0.083581,0.036264,0.349564,8.83248,4.28815
607739385327928,0.0481979,0.0725854,0.0185489,0.407027,8.85163,4.29054
607739389329294,0.0329262,0.0664768,0.00266643,0.385478,8.86839,4.25941
607739393331994,0.0170438,0.0652551,-0.0236008,0.304073,8.9091,4.19956
607739397334694,0.00849164,0.0554812,-0.0370398,0.258582,8.93783,4.18759
607739401332494,-0.0104452,0.0432639,-0.0455919,0.217879,8.95219,4.16843
607739405335194,-0.0275494,0.024938,-0.0620853,0.165205,8.95219,4.1421
607739409337894,-0.038545,0.0218836,-0.07247,0.0981653,8.93064,4.15886
607739413343160,-0.0483188,0.0255488,-0.0883525,0.0837996,8.92107,4.21632
607739417345826,-0.051984,0.0322683,-0.0920177,0.0885882,8.88515,4.27618
607739421348492,-0.0580927,0.0438748,-0.105457,0.160416,8.87558,4.31688
607739425354258,-0.0617579,0.0579247,-0.110955,0.179571,8.83009,4.32167
607739429356924,-0.0648122,0.0713637,-0.110344,0.150839,8.85403,4.33364
607739433359624,-0.0568709,0.0939657,-0.112787,0.107742,8.86121,4.36716
607739437361524,-0.0562601,0.106794,-0.107289,0.0837996,8.84924,4.47729
607739441364190,-0.0470971,0.11107,-0.101181,0.0718282,8.84445,4.53715
607739445366890,-0.0440428,0.115346,-0.0914068,0.052674,8.86361,4.55391
607739449373556,-0.0336581,0.113513,-0.0755243,-0.0311256,8.88755,4.54912
607739453376222,-0.0306037,0.108626,-0.063307,-0.110137,8.88994,4.59461
607739457378888,-0.0165538,0.102518,-0.049868,-0.141262,8.9091,4.63292
607739461375454,-0.00861259,0.0982418,-0.0309312,-0.138868,8.91149,4.61616
607739465378154,-6.04757E-005,0.0957983,-0.0211573,-0.146051,8.88755,4.62095
607739469380787,0.00849164,0.0878571,-0.00405309,-0.143656,8.87318,4.65208
607739473387653,0.0200981,0.0689203,0.00694248,-0.150839,8.85882,4.69278
607739477390353,0.0329262,0.0536486,0.0148837,-0.234639,8.79896,4.73827
607739481393019,0.0365914,0.0463182,0.0222141,-0.227456,8.78699,4.70475
607739485393885,0.0408675,0.0444857,0.0307662,-0.174782,8.76783,4.65686
607739489396618,0.0512522,0.0542595,0.031988,-0.0790111,8.75107,4.65447
607739493399284,0.0573609,0.0622007,0.0289336,-0.0311256,8.72953,4.67602
607739497402184,0.0714108,0.0652551,0.0356531,-0.0454912,8.75586,4.65926
607739501404917,0.0762977,0.0658659,0.0399292,-0.10056,8.77502,4.60898
607739505407617,0.0775194,0.0450965,0.0399292,-0.146051,8.82051,4.49405
607739509410350,0.0720216,0.0206619,0.0429835,-0.160416,8.87079,4.38871
607739513413050,0.0738542,-0.0074379,0.0448161,-0.162811,8.89473,4.33124
607739517415716,0.0598043,-0.0257639,0.0509248,-0.112531,8.9067,4.24744
607739521419649,0.0530848,-0.0330942,0.0484813,0.00718282,8.90191,4.10379
607739525422315,0.0414784,-0.0312616,0.0405401,0.0837996,8.88994,4.00802
607739529424981,0.0323154,-0.0263747,0.0368749,0.217879,8.87558,3.94098
607739533429914,0.0219307,-0.01599,0.0264902,0.344776,8.82769,3.96731
607739537432580,0.0207089,0.000503353,0.0173272,0.39745,8.78699,3.9314
607739541435280,0.0139894,0.0261597,0.00694248,0.371113,8.81811,3.95055
607739545434846,0.0109351,0.0438748,-0.00588569,0.287313,8.88515,4.00562
607739549437546,0.00971337,0.0469291,-0.00832915,0.227456,8.91867,4.14688
607739553440212,0.00604818,0.0438748,-0.0187139,0.153234,8.91149,4.24744
607739557443078,0.0194872,0.0322683,-0.0303203,0.0909824,8.89473,4.3504
607739561445811,0.0286502,0.0273814,-0.0370398,0.0550683,8.87079,4.51321
607739565448511,0.0414784,0.0084446,-0.0449811,0.0143656,8.80614,4.63292
607739569446611,0.0579717,-0.0141574,-0.0553658,-0.0239427,8.7391,4.69278
607739573449277,0.0707999,-0.0214878,-0.0584201,-0.10056,8.65051,4.73109
607739577451977,0.0879041,-0.0282073,-0.0614744,-0.110137,8.57869,4.71672
607739581454643,0.101343,-0.0257639,-0.0645287,-0.129291,8.5332,4.7239
607739585457343,0.114782,-0.0233204,-0.0779678,-0.138868,8.48052,4.77897
607739589460043,0.115393,-0.011714,-0.0743026,-0.138868,8.39193,4.50842
607739593458543,0.111117,-0.00682703,-0.0730809,-0.110137,8.43742,4.34082
607739597461243,0.103787,0.00111422,-0.0651396,-0.0502798,8.5332,4.19716
607739601463976,0.0958454,0.0127207,-0.0571984,-0.0574626,8.54277,4.06308
607739605462909,0.0934019,0.024938,-0.0413159,-0.131685,8.59545,4.05111
607739609465575,0.079352,0.0402096,-0.022379,-0.24661,8.66249,4.04632
607739613468308,0.0561391,0.0286032,0.00510989,-0.34717,8.73671,3.94816
607739617471174,0.0359806,0.00539027,0.0258793,-0.392661,8.79417,3.76859
607739621473840,0.0121568,-0.0190443,0.0356531,-0.306467,8.83966,3.77577
607739625476540,-0.0147212,-0.0263747,0.0460379,-0.189148,8.8253,3.80929
607739629482140,-0.0281603,-0.00865963,0.0484813,-0.0359141,8.78459,3.82605
607739633484806,-0.0513732,0.00416854,0.0552008,0.0574626,8.80614,3.8476
607739637487539,-0.0690883,0.0218836,0.0478705,0.0837996,8.81333,3.88112
607739641493439,-0.0806947,0.0512052,0.0399292,0.177176,8.79417,3.9314
607739645496139,-0.0849707,0.079305,0.0283228,0.220273,8.76783,4.01999
607739649498839,-0.0892468,0.106794,0.0179381,0.22985,8.73431,4.13731
607739653496705,-0.0947446,0.125731,-0.00466396,0.210696,8.73192,4.25463
607739657499405,-0.0947446,0.120844,-0.0168813,0.201119,8.72474,4.36716
607739661502071,-0.0984098,0.111681,-0.0400941,0.174782,8.72713,4.42701
607739665510304,-0.0947446,0.0909114,-0.0559766,0.129291,8.76065,4.47011
607739669513004,-0.0941337,0.0670877,-0.0718591,0.0837996,8.76305,4.518
607739673515704,-0.0935229,0.056703,-0.0828547,0.0837996,8.79417,4.50363
607739677513570,-0.0916903,0.0536486,-0.0981263,0.0837996,8.79417,4.46053
